Most common words,Absolute frequency,Relative frequency
turn,46.0,0.0008459147832803104
gave,46.0,0.0008459147832803104
present,46.0,0.0008459147832803104
far,46.0,0.0008459147832803104
years,46.0,0.0008459147832803104
death,46.0,0.0008459147832803104
words,45.0,0.0008275253314698689
almost,45.0,0.0008275253314698689
ye,45.0,0.0008275253314698689
bad,45.0,0.0008275253314698689
towards,44.0,0.0008091358796594273
perhaps,44.0,0.0008091358796594273
among,44.0,0.0008091358796594273
light,44.0,0.0008091358796594273
hardly,44.0,0.0008091358796594273
servant,44.0,0.0008091358796594273
world,44.0,0.0008091358796594273
black,43.0,0.0007907464278489858
sir,43.0,0.0007907464278489858
walk,43.0,0.0007907464278489858
near,43.0,0.0007907464278489858
bear,43.0,0.0007907464278489858
also,43.0,0.0007907464278489858
stood,43.0,0.0007907464278489858
lay,42.0,0.0007723569760385443
table,42.0,0.0007723569760385443
people,42.0,0.0007723569760385443
return,42.0,0.0007723569760385443
lad,42.0,0.0007723569760385443
god,42.0,0.0007723569760385443
hope,41.0,0.0007539675242281028
observed,41.0,0.0007539675242281028
son,41.0,0.0007539675242281028
minute,41.0,0.0007539675242281028
together,41.0,0.0007539675242281028
looking,40.0,0.0007355780724176612
least,40.0,0.0007355780724176612
seen,40.0,0.0007355780724176612
worse,40.0,0.0007355780724176612
bid,40.0,0.0007355780724176612
dead,40.0,0.0007355780724176612
turned,40.0,0.0007355780724176612
road,40.0,0.0007355780724176612
neither,40.0,0.0007355780724176612
believe,39.0,0.0007171886206072197
name,39.0,0.0007171886206072197
mother,39.0,0.0007171886206072197
kind,39.0,0.0007171886206072197
fear,39.0,0.0007171886206072197
knew,39.0,0.0007171886206072197
unless,39.0,0.0007171886206072197
brother,39.0,0.0007171886206072197
boy,39.0,0.0007171886206072197
companion,39.0,0.0007171886206072197
countenance,38.0,0.0006987991687967782
arm,38.0,0.0006987991687967782
hate,38.0,0.0006987991687967782
feel,38.0,0.0006987991687967782
hold,38.0,0.0006987991687967782
anything,38.0,0.0006987991687967782
hair,38.0,0.0006987991687967782
things,38.0,0.0006987991687967782
suppose,37.0,0.0006804097169863366
appeared,37.0,0.0006804097169863366
kept,37.0,0.0006804097169863366
cold,37.0,0.0006804097169863366
garden,37.0,0.0006804097169863366
moment,37.0,0.0006804097169863366
voice,37.0,0.0006804097169863366
chamber,37.0,0.0006804097169863366
read,37.0,0.0006804097169863366
chapter,36.0,0.0006620202651758951
devil,36.0,0.0006620202651758951
nobody,36.0,0.0006620202651758951
person,36.0,0.0006620202651758951
ask,36.0,0.0006620202651758951
run,36.0,0.0006620202651758951
rest,36.0,0.0006620202651758951
less,36.0,0.0006620202651758951
gimmerton,36.0,0.0006620202651758951
either,35.0,0.0006436308133654536
zillah,35.0,0.0006436308133654536
rose,35.0,0.0006436308133654536
bring,34.0,0.0006252413615550121
call,34.0,0.0006252413615550121
remained,34.0,0.0006252413615550121
instead,34.0,0.0006252413615550121
work,34.0,0.0006252413615550121
opened,34.0,0.0006252413615550121
called,34.0,0.0006252413615550121
days,34.0,0.0006252413615550121
many,33.0,0.0006068519097445705
morrow,33.0,0.0006068519097445705
full,33.0,0.0006068519097445705
pleasure,33.0,0.0006068519097445705
often,33.0,0.0006068519097445705
spoke,33.0,0.0006068519097445705
grew,33.0,0.0006068519097445705
show,33.0,0.0006068519097445705
hurt,33.0,0.0006068519097445705
ran,33.0,0.0006068519097445705
held,33.0,0.0006068519097445705
fingers,32.0,0.000588462457934129
help,32.0,0.000588462457934129
indeed,32.0,0.000588462457934129
dark,32.0,0.000588462457934129
muttered,32.0,0.000588462457934129
glad,32.0,0.000588462457934129
shut,32.0,0.000588462457934129
fit,32.0,0.000588462457934129
fell,32.0,0.000588462457934129
live,32.0,0.000588462457934129
horse,31.0,0.0005700730061236874
times,31.0,0.0005700730061236874
company,31.0,0.0005700730061236874
matter,31.0,0.0005700730061236874
turning,31.0,0.0005700730061236874
drew,31.0,0.0005700730061236874
soul,31.0,0.0005700730061236874
books,31.0,0.0005700730061236874
friend,31.0,0.0005700730061236874
children,31.0,0.0005700730061236874
certain,31.0,0.0005700730061236874
family,30.0,0.0005516835543132459
within,30.0,0.0005516835543132459
living,30.0,0.0005516835543132459
used,30.0,0.0005516835543132459
dog,30.0,0.0005516835543132459
hearth,30.0,0.0005516835543132459
tea,30.0,0.0005516835543132459
struck,30.0,0.0005516835543132459
book,30.0,0.0005516835543132459
send,30.0,0.0005516835543132459
part,30.0,0.0005516835543132459
really,30.0,0.0005516835543132459
nearly,30.0,0.0005516835543132459
trouble,30.0,0.0005516835543132459
interrupted,29.0,0.0005332941025028044
end,29.0,0.0005332941025028044
seat,29.0,0.0005332941025028044
scarcely,29.0,0.0005332941025028044
making,29.0,0.0005332941025028044
wished,29.0,0.0005332941025028044
afraid,29.0,0.0005332941025028044
cry,29.0,0.0005332941025028044
spirit,29.0,0.0005332941025028044
die,29.0,0.0005332941025028044
settle,29.0,0.0005332941025028044
lie,29.0,0.0005332941025028044
hours,29.0,0.0005332941025028044
tears,29.0,0.0005332941025028044
sitting,28.0,0.0005149046506923629
except,28.0,0.0005149046506923629
dear,28.0,0.0005149046506923629
hard,28.0,0.0005149046506923629
behind,28.0,0.0005149046506923629
commenced,28.0,0.0005149046506923629
strange,28.0,0.0005149046506923629
repeated,28.0,0.0005149046506923629
ready,28.0,0.0005149046506923629
husband,28.0,0.0005149046506923629
wicked,28.0,0.0005149046506923629
candle,28.0,0.0005149046506923629
sleep,28.0,0.0005149046506923629
says,28.0,0.0005149046506923629
remember,28.0,0.0005149046506923629
presence,28.0,0.0005149046506923629
please,28.0,0.0005149046506923629
inquired,28.0,0.0005149046506923629
happy,28.0,0.0005149046506923629
whispered,28.0,0.0005149046506923629
new,27.0,0.0004965151988819213
notice,27.0,0.0004965151988819213
four,27.0,0.0004965151988819213
tongue,27.0,0.0004965151988819213
manner,27.0,0.0004965151988819213
clock,27.0,0.0004965151988819213
laid,27.0,0.0004965151988819213
longer,27.0,0.0004965151988819213
wife,27.0,0.0004965151988819213
sorry,27.0,0.0004965151988819213
water,27.0,0.0004965151988819213
twenty,27.0,0.0004965151988819213
wanted,27.0,0.0004965151988819213
added,27.0,0.0004965151988819213
directly,27.0,0.0004965151988819213
sense,27.0,0.0004965151988819213
angry,27.0,0.0004965151988819213
late,27.0,0.0004965151988819213
seek,27.0,0.0004965151988819213
visit,26.0,0.0004781257470714798
heaven,26.0,0.0004781257470714798
thrushcross,26.0,0.0004781257470714798
gate,26.0,0.0004781257470714798
nay,26.0,0.0004781257470714798
deep,26.0,0.0004781257470714798
white,26.0,0.0004781257470714798
doubt,26.0,0.0004781257470714798
arms,26.0,0.0004781257470714798
probably,26.0,0.0004781257470714798
doors,26.0,0.0004781257470714798
maister,26.0,0.0004781257470714798
length,26.0,0.0004781257470714798
minutes,26.0,0.0004781257470714798
law,26.0,0.0004781257470714798
former,26.0,0.0004781257470714798
idea,26.0,0.0004781257470714798
reason,26.0,0.0004781257470714798
sent,26.0,0.0004781257470714798
close,26.0,0.0004781257470714798
wild,26.0,0.0004781257470714798
account,26.0,0.0004781257470714798
laugh,26.0,0.0004781257470714798
uncle,26.0,0.0004781257470714798
need,25.0,0.00045973629526103825
summer,25.0,0.00045973629526103825
besides,25.0,0.00045973629526103825
afternoon,25.0,0.00045973629526103825
girl,25.0,0.00045973629526103825
pleased,25.0,0.00045973629526103825
expression,25.0,0.00045973629526103825
none,25.0,0.00045973629526103825
