Most common words,Jane Eyre relative frequency,Wuthering Heights relative frequency,Relative frequency difference
shook,0.0003434812974433542,0.00027584177715662294,6.763952028673127e-05
perceived,0.0001717406487216771,0.0002390628735357399,6.73222248140628e-05
comes,0.0001717406487216771,0.0002390628735357399,6.73222248140628e-05
trees,0.00043507631009491536,0.0003677890362088306,6.728727388608473e-05
book,0.0006182663353980376,0.0005516835543132459,6.658278108479172e-05
drew,0.0005037725695835861,0.0005700730061236874,6.630043654010131e-05
half,0.0015342164619136487,0.0015998823075084132,6.566584559476447e-05
thank,0.0002862344145361285,0.00022067342172529838,6.556099281083015e-05
evidently,0.00022898753162890281,0.0002942312289670645,6.524369733816167e-05
spring,0.00022898753162890281,0.0002942312289670645,6.524369733816167e-05
pardon,0.0001373925189773417,0.00020228396991485683,6.489145093751514e-05
mother,0.000652614465142373,0.0007171886206072197,6.45741554648467e-05
longer,0.0005610194524908119,0.0004965151988819213,6.450425360889057e-05
led,0.00032058254428046393,0.00025745232534618145,6.313021893428249e-05
clothes,0.00019463940188456738,0.00025745232534618145,6.281292346161407e-05
ease,0.00019463940188456738,0.00025745232534618145,6.281292346161407e-05
windows,0.00019463940188456738,0.00025745232534618145,6.281292346161407e-05
handsome,0.00041217755693202503,0.0003493995843983891,6.277797253363595e-05
seek,0.00043507631009491536,0.0004965151988819213,6.143888878700599e-05
believe,0.0007785576075382695,0.0007171886206072197,6.136898693104981e-05
last,0.0019921915251714544,0.0019308924400963606,6.129908507509379e-05
finished,0.00026333566137323825,0.00020228396991485683,6.105169145838142e-05
leaving,0.00025188628479179306,0.00031262068077750604,6.0734395985712975e-05
top,0.00025188628479179306,0.00031262068077750604,6.0734395985712975e-05
faces,0.00016029127214023197,0.00022067342172529838,6.038214958506641e-05
merely,0.00016029127214023197,0.00022067342172529838,6.038214958506641e-05
descended,0.00016029127214023197,0.00022067342172529838,6.038214958506641e-05
past,0.0004465256866763605,0.00038617848801927217,6.034719865708832e-05
fellow,0.0003091331676990188,0.0003677890362088306,5.8655868509811825e-05
gave,0.0009045007499341661,0.0008459147832803104,5.85859666538557e-05
better,0.0014311720726806426,0.001489545596645764,5.837352396512131e-05
secret,0.00021753815504745768,0.00027584177715662294,5.830362210916526e-05
expect,0.00021753815504745768,0.00027584177715662294,5.830362210916526e-05
pocket,0.00021753815504745768,0.00027584177715662294,5.830362210916526e-05
want,0.0009960957625857272,0.000937862042332518,5.823372025320916e-05
silent,0.0004808738164206959,0.0004229573916401552,5.791642478054069e-05
grave,0.0003663800506062445,0.0004229573916401552,5.657734103391073e-05
cross,0.0002747850379546834,0.00033101013258794753,5.622509463326414e-05
fond,0.00018319002530312224,0.0002390628735357399,5.587284823261766e-05
pursued,0.00018319002530312224,0.0002390628735357399,5.587284823261766e-05
ordinary,0.00018319002530312224,0.0002390628735357399,5.587284823261766e-05
promise,0.00033203192086190907,0.00038617848801927217,5.41465671573631e-05
instantly,0.0002747850379546834,0.00022067342172529838,5.411161622938501e-05
impossible,0.0002747850379546834,0.00022067342172529838,5.411161622938501e-05
retired,0.00014884189555878683,0.00020228396991485683,5.344207435607e-05
lord,0.00014884189555878683,0.00020228396991485683,5.344207435607e-05
meal,0.00014884189555878683,0.00020228396991485683,5.344207435607e-05
laid,0.0005495700759093668,0.0004965151988819213,5.305487702744543e-05
clock,0.0005495700759093668,0.0004965151988819213,5.305487702744543e-05
side,0.0009960957625857272,0.0010481987531951672,5.2102990609440014e-05
taking,0.00038927880376913475,0.00044134684345059676,5.2068039681462004e-05
cut,0.00029768379111757366,0.0003493995843983891,5.1715793280815415e-05
affection,0.0003091331676990188,0.00025745232534618145,5.168084235283735e-05
steps,0.0003091331676990188,0.00025745232534618145,5.168084235283735e-05
presently,0.0004007281803505799,0.0003493995843983891,5.1328595952190815e-05
shut,0.0005381206993279216,0.000588462457934129,5.0341758606207336e-05
manner,0.0004465256866763605,0.0004965151988819213,4.9989512205560855e-05
forgotten,0.00025188628479179306,0.00020228396991485683,4.960231487693623e-05
forced,0.00025188628479179306,0.00020228396991485683,4.960231487693623e-05
expressed,0.00025188628479179306,0.00020228396991485683,4.960231487693623e-05
discovered,0.00026333566137323825,0.00031262068077750604,4.9285019404267784e-05
broken,0.0003434812974433542,0.0002942312289670645,4.925006847628972e-05
hundred,0.0001717406487216771,0.00022067342172529838,4.8932773003621276e-05
locked,0.0001717406487216771,0.00022067342172529838,4.8932773003621276e-05
accompany,0.0001717406487216771,0.00022067342172529838,4.8932773003621276e-05
fetch,0.0002862344145361285,0.0002390628735357399,4.7171541000388625e-05
shoulder,0.0002862344145361285,0.0002390628735357399,4.7171541000388625e-05
reading,0.00022898753162890281,0.00027584177715662294,4.6854245527720126e-05
carried,0.00022898753162890281,0.00027584177715662294,4.6854245527720126e-05
interest,0.0003778294271876896,0.00033101013258794753,4.681929459974209e-05
watch,0.0003778294271876896,0.00033101013258794753,4.681929459974209e-05
things,0.0007442094777939341,0.0006987991687967782,4.541030899715595e-05
sister,0.0003778294271876896,0.0004229573916401552,4.5127964452465594e-05
touch,0.0002862344145361285,0.00033101013258794753,4.4775718051819004e-05
bitter,0.0002862344145361285,0.00033101013258794753,4.4775718051819004e-05
spent,0.00019463940188456738,0.0002390628735357399,4.442347165117252e-05
sudden,0.00019463940188456738,0.0002390628735357399,4.442347165117252e-05
probably,0.00043507631009491536,0.0004781257470714798,4.3049436976564444e-05
fire,0.001385374566354862,0.0013424299821622318,4.294458419263031e-05
looks,0.00025188628479179306,0.0002942312289670645,4.234494417527143e-05
hung,0.00016029127214023197,0.00020228396991485683,4.1992697774624865e-05
three,0.001053342645492953,0.0010114198495742841,4.192279591866887e-05
fell,0.0006297157119794827,0.000588462457934129,4.125325404535376e-05
mind,0.0014197226960991974,0.0013792088857831149,4.051381031608251e-05
year,0.00029768379111757366,0.00025745232534618145,4.0231465771392214e-05
spirits,0.00021753815504745768,0.00025745232534618145,3.991417029872377e-05
obeyed,0.00021753815504745768,0.00025745232534618145,3.991417029872377e-05
piece,0.00021753815504745768,0.00025745232534618145,3.991417029872377e-05
people,0.000732760101212489,0.0007723569760385443,3.959687482605538e-05
look,0.0017632039935425517,0.00180216627742327,3.896228388071822e-05
stranger,0.0003663800506062445,0.00040456793982971366,3.818788922346918e-05
pride,0.0002747850379546834,0.00031262068077750604,3.783564282282265e-05
